VisitID,VisitDate,RepID,DoctorID,TerritoryID,VisitType,ProductsDetailed,SamplesGiven,CallOutcome,NextVisitScheduled,VisitDuration_Mins,JointVisitFlag,ManagerID
VIS002732,2021-11-25,REP014,DOC0297,TER016,Planned,"DRG002,DRG015,DRG006,DRG011",0,Prescription Committed,2021-12-08,42,No,
VIS000900,2021-11-26,REP011,DOC0231,TER037,Unplanned,"DRG001,DRG009,DRG005",0,Prescription Committed,2021-12-23,15,Yes,REP017
VIS001908,2021-11-26,REP015,DOC0018,TER016,Camp,"DRG005,DRG008,DRG015",2,Not Interested,2021-12-11,13,Yes,REP017
VIS002814,2021-11-26,REP004,DOC0016,TER022,Planned,"DRG011,DRG015",0,Will Consider,2021-12-10,41,No,
VIS002867,2021-11-26,REP016,DOC0111,TER039,Follow-up,"DRG002,DRG012",0,Will Consider,2021-12-07,21,Yes,REP012
VIS000173,2021-11-27,REP020,DOC0230,TER036,Planned,"DRG011,DRG013",2,Prescription Committed,2021-12-15,19,Yes,REP012
VIS001650,2021-11-27,REP013,DOC0020,TER028,Planned,DRG004,0,Sample Accepted,2021-12-22,33,No,
VIS002447,2021-11-27,REP005,DOC0151,TER025,Planned,"DRG013,DRG012",3,Not Interested,2021-12-19,24,Yes,REP017
VIS002451,2021-11-27,REP014,DOC0264,TER011,Follow-up,"DRG003,DRG012,DRG013",2,Prescription Committed,2021-12-15,29,No,
VIS001653,2021-11-28,REP008,DOC0270,TER028,Follow-up,"DRG009,DRG006,DRG001",1,Sample Accepted,2021-12-24,36,Yes,REP017
VIS002446,2021-11-28,REP019,DOC0208,TER010,Planned,"DRG015,DRG012,DRG008",0,Not Interested,2021-12-22,21,No,
VIS002754,2021-11-28,REP007,DOC0152,TER012,Unplanned,"DRG009,DRG015,DRG005",3,Sample Accepted,2021-12-19,42,No,
VIS000294,2021-11-29,REP018,DOC0206,TER024,Planned,"DRG005,DRG015,DRG011",1,Not Interested,2021-12-10,32,No,
VIS001050,2021-11-29,REP015,DOC0038,TER015,Follow-up,DRG006,1,Will Consider,2021-12-17,27,No,
VIS002839,2021-11-29,REP009,DOC0098,TER028,CME,"DRG006,DRG003",2,Sample Accepted,2021-12-17,22,No,
VIS001492,2021-11-30,REP005,DOC0216,TER040,Unplanned,"DRG003,DRG002",2,Will Consider,2021-12-24,10,No,
VIS000834,2021-12-01,REP011,DOC0213,TER026,Follow-up,"DRG012,DRG014,DRG007,DRG004",1,Meeting Rescheduled,2021-12-19,43,No,
VIS001381,2021-12-01,REP013,DOC0095,TER032,CME,"DRG001,DRG007,DRG014,DRG009",1,Not Interested,2021-12-21,25,No,
VIS002617,2021-12-01,REP015,DOC0292,TER019,CME,"DRG005,DRG008",3,Prescription Committed,2021-12-12,12,No,
VIS001190,2021-12-02,REP019,DOC0008,TER004,Planned,"DRG009,DRG015,DRG008,DRG007",2,Prescription Committed,2021-12-27,13,No,
VIS001220,2021-12-02,REP019,DOC0182,TER029,Planned,"DRG015,DRG014",0,Will Consider,2021-12-19,25,No,
VIS000073,2021-12-03,REP003,DOC0107,TER040,Planned,DRG013,2,Will Consider,2021-12-29,38,No,
VIS000284,2021-12-03,REP005,DOC0045,TER013,Planned,DRG007,1,Prescription Committed,2021-12-12,34,No,
VIS000345,2021-12-03,REP004,DOC0178,TER035,Camp,"DRG011,DRG013",1,Will Consider,2021-12-17,26,No,
VIS001246,2021-12-03,REP014,DOC0111,TER024,Planned,"DRG011,DRG002,DRG013,DRG006",2,Not Interested,2021-12-21,12,No,
VIS001388,2021-12-03,REP011,DOC0057,TER005,Planned,DRG012,0,Prescription Committed,2021-12-22,29,No,
VIS002930,2021-12-03,REP015,DOC0161,TER039,Planned,"DRG004,DRG010,DRG005,DRG009",2,Will Consider,2021-12-31,24,No,
VIS000079,2021-12-04,REP012,DOC0233,TER018,Planned,DRG009,3,Meeting Rescheduled,2021-12-17,12,No,
VIS000405,2021-12-04,REP015,DOC0134,TER015,Planned,"DRG008,DRG007,DRG013",3,Prescription Committed,2021-12-29,30,No,
VIS000778,2021-12-04,REP002,DOC0143,TER030,Planned,DRG005,1,Prescription Committed,2021-12-13,20,Yes,REP017
VIS001259,2021-12-04,REP020,DOC0212,TER032,Planned,DRG012,3,Prescription Committed,2021-12-12,34,No,
VIS001957,2021-12-04,REP006,DOC0146,TER040,Planned,"DRG015,DRG010,DRG011",0,Not Interested,2021-12-25,44,No,
VIS002344,2021-12-04,REP002,DOC0200,TER026,Follow-up,"DRG011,DRG008",1,Sample Accepted,2021-12-14,44,No,
VIS002399,2021-12-05,REP012,DOC0122,TER016,Follow-up,DRG015,2,Meeting Rescheduled,2021-12-12,36,No,
VIS000677,2021-12-06,REP004,DOC0259,TER017,Unplanned,DRG004,0,Not Interested,2021-12-29,27,No,
VIS001077,2021-12-06,REP002,DOC0153,TER010,CME,DRG015,2,Prescription Committed,2022-01-05,19,Yes,REP017
VIS000112,2021-12-07,REP003,DOC0152,TER003,Planned,DRG003,3,Prescription Committed,2021-12-28,28,No,
VIS002905,2021-12-07,REP004,DOC0156,TER012,Planned,"DRG003,DRG005",1,Will Consider,2021-12-26,13,No,
VIS001035,2021-12-08,REP003,DOC0079,TER004,Planned,"DRG005,DRG001,DRG015,DRG007",0,Sample Accepted,2021-12-21,11,Yes,REP012
VIS001518,2021-12-08,REP009,DOC0283,TER009,Unplanned,"DRG006,DRG013,DRG004",0,Sample Accepted,2021-12-22,35,No,
VIS001918,2021-12-08,REP016,DOC0262,TER034,CME,"DRG013,DRG001,DRG008",3,Prescription Committed,2021-12-16,24,Yes,REP012
VIS002734,2021-12-08,REP016,DOC0188,TER038,CME,"DRG002,DRG010",2,Will Consider,2021-12-16,40,No,
VIS002977,2021-12-08,REP015,DOC0009,TER011,Camp,"DRG001,DRG007",2,Prescription Committed,2021-12-16,28,No,
VIS001696,2021-12-09,REP010,DOC0268,TER024,Planned,DRG004,3,Prescription Committed,2021-12-28,26,No,
VIS002565,2021-12-10,REP012,DOC0087,TER005,Planned,"DRG005,DRG002",0,Not Interested,2021-12-17,34,No,
VIS000306,2021-12-11,REP005,DOC0147,TER022,Planned,"DRG003,DRG007,DRG001",0,Will Consider,2021-12-24,18,No,
VIS000379,2021-12-11,REP001,DOC0184,TER026,Planned,DRG002,1,Sample Accepted,2022-01-10,28,No,
VIS001313,2021-12-12,REP016,DOC0300,TER026,Planned,DRG014,1,Prescription Committed,2021-12-28,28,No,
VIS002040,2021-12-13,REP003,DOC0150,TER008,Planned,"DRG005,DRG006",2,Will Consider,2022-01-04,16,No,
VIS000668,2021-12-14,REP004,DOC0144,TER009,Planned,"DRG012,DRG004,DRG007",0,Will Consider,2022-01-03,20,No,
VIS002726,2021-12-14,REP005,DOC0134,TER009,Follow-up,"DRG012,DRG005,DRG007",3,Will Consider,2021-12-31,37,No,
VIS002038,2021-12-15,REP004,DOC0124,TER012,Planned,DRG007,0,Prescription Committed,2021-12-30,28,No,
VIS001475,2021-12-16,REP013,DOC0127,TER026,Follow-up,"DRG015,DRG002,DRG012,DRG008",0,Sample Accepted,2022-01-04,18,No,
VIS002375,2021-12-16,REP006,DOC0176,TER019,Follow-up,"DRG011,DRG009,DRG013",2,Will Consider,2021-12-30,16,No,
VIS000853,2021-12-17,REP020,DOC0153,TER012,Planned,DRG002,0,Prescription Committed,2022-01-15,31,Yes,REP012
VIS002469,2021-12-17,REP006,DOC0170,TER001,CME,"DRG009,DRG015,DRG001",3,Sample Accepted,2022-01-15,21,No,
VIS002364,2021-12-18,REP012,DOC0152,TER003,Unplanned,"DRG013,DRG014,DRG007",1,Sample Accepted,2021-12-25,18,Yes,REP012
VIS002724,2021-12-18,REP011,DOC0246,TER012,Planned,"DRG009,DRG003",2,Not Interested,2022-01-01,23,No,
VIS002770,2021-12-18,REP010,DOC0259,TER037,Camp,"DRG001,DRG006",0,Will Consider,2022-01-08,14,No,
VIS001248,2021-12-19,REP014,DOC0282,TER039,CME,"DRG013,DRG005,DRG004,DRG002",2,Prescription Committed,2021-12-31,27,No,
VIS000807,2021-12-20,REP017,DOC0116,TER007,Follow-up,"DRG009,DRG012,DRG014,DRG006",2,Prescription Committed,2022-01-09,37,No,
VIS001214,2021-12-20,REP012,DOC0190,TER010,Planned,DRG003,2,Not Interested,2022-01-08,21,No,
VIS001782,2021-12-20,REP017,DOC0017,TER030,Planned,DRG007,2,Will Consider,2022-01-08,12,Yes,REP017
VIS001832,2021-12-20,REP002,DOC0293,TER021,Follow-up,"DRG013,DRG015,DRG014",2,Prescription Committed,2022-01-09,36,No,
VIS002034,2021-12-21,REP001,DOC0061,TER001,CME,"DRG001,DRG010,DRG012",3,Prescription Committed,2022-01-11,41,No,
VIS000358,2021-12-22,REP010,DOC0256,TER034,Unplanned,"DRG001,DRG014",0,Not Interested,2022-01-05,23,No,
VIS000513,2021-12-22,REP006,DOC0224,TER014,Follow-up,DRG010,1,Will Consider,2022-01-19,42,No,
VIS000646,2021-12-22,REP008,DOC0265,TER009,CME,"DRG003,DRG015",2,Not Interested,2022-01-17,17,Yes,REP017
VIS001218,2021-12-22,REP005,DOC0158,TER003,Planned,"DRG006,DRG013,DRG008",3,Will Consider,2022-01-05,40,No,
VIS002007,2021-12-22,REP008,DOC0133,TER005,Planned,"DRG006,DRG001,DRG005,DRG011",1,Sample Accepted,2022-01-07,44,No,
VIS002350,2021-12-22,REP013,DOC0092,TER008,Unplanned,"DRG009,DRG002,DRG004",0,Will Consider,2022-01-15,18,Yes,REP017
VIS002547,2021-12-23,REP019,DOC0155,TER022,Planned,"DRG002,DRG005",0,Prescription Committed,2022-01-02,37,No,
VIS001102,2021-12-24,REP004,DOC0046,TER003,Follow-up,"DRG008,DRG002",1,Sample Accepted,2022-01-13,38,No,
VIS001965,2021-12-24,REP011,DOC0263,TER031,Follow-up,"DRG008,DRG013,DRG001",0,Sample Accepted,2022-01-09,38,No,
VIS002894,2021-12-25,REP001,DOC0274,TER032,Follow-up,DRG005,0,Will Consider,2022-01-22,38,No,
VIS001885,2021-12-26,REP002,DOC0055,TER007,Follow-up,DRG011,1,Will Consider,2022-01-20,35,No,
VIS000583,2021-12-27,REP005,DOC0005,TER012,CME,"DRG005,DRG009",0,Prescription Committed,2022-01-25,26,Yes,REP017
VIS000803,2021-12-28,REP003,DOC0227,TER032,Planned,"DRG013,DRG001,DRG007,DRG004",3,Will Consider,2022-01-07,31,No,
VIS002299,2021-12-28,REP002,DOC0038,TER016,Camp,"DRG011,DRG014,DRG013,DRG004",0,Not Interested,2022-01-22,30,No,
VIS002372,2021-12-28,REP007,DOC0093,TER008,Planned,DRG006,3,Prescription Committed,2022-01-16,14,No,
VIS000025,2021-12-29,REP006,DOC0094,TER016,Planned,"DRG001,DRG007,DRG004",1,Prescription Committed,2022-01-17,28,Yes,REP017
VIS000036,2021-12-29,REP012,DOC0074,TER029,Follow-up,"DRG013,DRG015",0,Sample Accepted,2022-01-08,16,No,
VIS000635,2021-12-29,REP002,DOC0200,TER026,Planned,"DRG013,DRG010",3,Meeting Rescheduled,2022-01-10,13,No,
VIS000965,2021-12-29,REP002,DOC0291,TER005,Planned,"DRG008,DRG013",2,Meeting Rescheduled,2022-01-06,36,Yes,REP017
VIS001857,2021-12-30,REP018,DOC0242,TER036,Follow-up,DRG005,3,Prescription Committed,2022-01-10,34,No,
VIS001002,2021-12-31,REP006,DOC0191,TER036,Unplanned,"DRG015,DRG005",0,Not Interested,2022-01-30,15,No,
VIS002743,2021-12-31,REP015,DOC0273,TER006,Planned,"DRG006,DRG007,DRG013,DRG010",0,Prescription Committed,2022-01-15,44,No,
VIS000618,2022-01-01,REP005,DOC0206,TER004,Planned,"DRG012,DRG004",0,Not Interested,2022-01-27,17,No,
VIS002670,2022-01-01,REP004,DOC0251,TER015,Planned,DRG007,2,Not Interested,2022-01-31,22,No,
VIS002262,2022-01-03,REP013,DOC0220,TER038,Planned,"DRG009,DRG004,DRG006",1,Not Interested,2022-01-15,13,No,
VIS000643,2022-01-04,REP013,DOC0155,TER029,Planned,"DRG015,DRG007,DRG011",2,Prescription Committed,2022-01-17,19,Yes,REP017
VIS000221,2022-01-05,REP009,DOC0008,TER021,Planned,"DRG007,DRG006",3,Prescription Committed,2022-01-23,14,No,
VIS001004,2022-01-05,REP011,DOC0289,TER028,Follow-up,DRG015,0,Will Consider,2022-01-30,21,No,
VIS001504,2022-01-06,REP003,DOC0131,TER027,Camp,DRG006,1,Will Consider,2022-01-16,41,No,
VIS000517,2022-01-07,REP013,DOC0101,TER017,Planned,"DRG008,DRG003,DRG012,DRG010",2,Will Consider,2022-02-05,45,No,
VIS000812,2022-01-08,REP012,DOC0102,TER025,Unplanned,DRG008,1,Prescription Committed,2022-02-05,15,No,
VIS000430,2022-01-09,REP014,DOC0255,TER024,Camp,"DRG003,DRG005,DRG014",0,Prescription Committed,2022-01-27,18,No,
VIS002361,2022-01-09,REP016,DOC0282,TER015,Unplanned,"DRG002,DRG012,DRG009",2,Will Consider,2022-01-25,15,No,
VIS002363,2022-01-09,REP019,DOC0217,TER015,Planned,"DRG009,DRG006,DRG003,DRG010",1,Prescription Committed,2022-01-22,40,No,
VIS002615,2022-01-10,REP002,DOC0267,TER022,Unplanned,DRG008,3,Not Interested,2022-01-20,27,No,
VIS002838,2022-01-10,REP004,DOC0258,TER007,CME,"DRG014,DRG008",3,Will Consider,2022-01-20,12,No,
VIS000015,2022-01-11,REP001,DOC0019,TER009,Planned,DRG015,3,Will Consider,2022-01-23,21,Yes,REP017
VIS002999,2022-01-11,REP011,DOC0072,TER007,Planned,"DRG014,DRG013,DRG007",0,Not Interested,2022-02-10,27,No,
VIS001316,2022-01-14,REP006,DOC0246,TER027,Planned,"DRG009,DRG012,DRG010,DRG014",3,Will Consider,2022-01-31,44,No,
VIS001441,2022-01-14,REP002,DOC0119,TER029,Planned,"DRG014,DRG012,DRG006",3,Sample Accepted,2022-01-28,11,No,
VIS002515,2022-01-14,REP004,DOC0233,TER001,Planned,DRG015,3,Prescription Committed,2022-02-08,14,No,
VIS001490,2022-01-15,REP014,DOC0073,TER007,Planned,"DRG003,DRG008",0,Sample Accepted,2022-01-24,15,No,
VIS002702,2022-01-16,REP003,DOC0008,TER010,CME,"DRG010,DRG008,DRG003,DRG012",2,Prescription Committed,2022-01-27,12,No,
VIS001222,2022-01-19,REP017,DOC0026,TER010,CME,"DRG005,DRG012,DRG002,DRG011",3,Prescription Committed,2022-02-15,42,No,
VIS001303,2022-01-19,REP014,DOC0250,TER017,Follow-up,"DRG003,DRG011,DRG014",3,Will Consider,2022-02-03,22,No,
VIS001699,2022-01-19,REP013,DOC0001,TER011,Planned,"DRG013,DRG014,DRG007",1,Prescription Committed,2022-02-18,36,Yes,REP017
VIS002802,2022-01-19,REP001,DOC0087,TER020,Planned,"DRG009,DRG006,DRG014",2,Sample Accepted,2022-02-08,41,No,
VIS000737,2022-01-20,REP014,DOC0005,TER040,Planned,DRG005,2,Meeting Rescheduled,2022-02-05,25,No,
VIS000852,2022-01-21,REP018,DOC0173,TER031,Planned,"DRG005,DRG009,DRG001",2,Will Consider,2022-02-19,28,Yes,REP017
VIS001122,2022-01-21,REP002,DOC0237,TER035,Follow-up,"DRG013,DRG014,DRG001,DRG008",0,Sample Accepted,2022-02-16,12,No,
VIS001460,2022-01-21,REP008,DOC0177,TER021,Unplanned,"DRG011,DRG006,DRG013",2,Sample Accepted,2022-02-06,26,No,
VIS002698,2022-01-21,REP014,DOC0050,TER009,Planned,DRG011,1,Will Consider,2022-02-17,42,No,
VIS000629,2022-01-23,REP019,DOC0241,TER007,Planned,"DRG005,DRG010,DRG013",1,Meeting Rescheduled,2022-02-22,19,No,
VIS001794,2022-01-23,REP019,DOC0277,TER005,Follow-up,"DRG002,DRG008,DRG004",0,Prescription Committed,2022-02-02,16,No,
VIS002195,2022-01-23,REP008,DOC0113,TER039,Unplanned,"DRG010,DRG014",1,Not Interested,2022-02-17,17,No,
VIS002537,2022-01-23,REP012,DOC0176,TER024,Camp,DRG005,2,Sample Accepted,2022-02-02,18,No,
VIS000782,2022-01-24,REP009,DOC0109,TER007,CME,"DRG009,DRG008,DRG004",3,Prescription Committed,2022-02-21,33,No,
VIS002425,2022-01-25,REP002,DOC0122,TER017,Unplanned,"DRG006,DRG008,DRG009,DRG004",3,Will Consider,2022-02-01,12,No,
VIS002904,2022-01-25,REP006,DOC0217,TER008,Follow-up,"DRG006,DRG004,DRG008,DRG003",1,Sample Accepted,2022-02-10,16,No,
VIS000487,2022-01-26,REP005,DOC0161,TER018,Follow-up,"DRG011,DRG007",3,Prescription Committed,2022-02-02,24,No,
VIS001223,2022-01-26,REP002,DOC0194,TER039,Follow-up,DRG008,3,Prescription Committed,2022-02-07,24,No,
VIS001413,2022-01-26,REP001,DOC0211,TER034,Planned,"DRG011,DRG004,DRG008",2,Prescription Committed,2022-02-16,20,No,
VIS001432,2022-01-26,REP002,DOC0182,TER007,Planned,DRG011,3,Not Interested,2022-02-18,36,No,
VIS001076,2022-01-27,REP010,DOC0149,TER026,Follow-up,"DRG004,DRG015,DRG001",3,Not Interested,2022-02-23,27,No,
VIS001745,2022-01-27,REP003,DOC0166,TER013,CME,DRG012,0,Sample Accepted,2022-02-12,31,No,
VIS001645,2022-01-28,REP013,DOC0019,TER003,Planned,"DRG013,DRG006,DRG004,DRG015",1,Prescription Committed,2022-02-15,22,No,
VIS002676,2022-01-28,REP017,DOC0196,TER031,Follow-up,DRG009,1,Will Consider,2022-02-19,12,Yes,REP017
VIS000395,2022-01-30,REP009,DOC0270,TER007,Planned,"DRG013,DRG005,DRG003,DRG014",2,Will Consider,2022-02-14,33,No,
VIS001827,2022-01-30,REP013,DOC0262,TER029,Follow-up,DRG010,0,Prescription Committed,2022-02-11,39,Yes,REP017
VIS002741,2022-01-30,REP010,DOC0206,TER033,Planned,"DRG003,DRG009",3,Not Interested,2022-02-26,30,No,
VIS000437,2022-01-31,REP001,DOC0251,TER031,Planned,"DRG009,DRG007,DRG010,DRG013",2,Sample Accepted,2022-02-09,27,No,
VIS000648,2022-01-31,REP009,DOC0062,TER034,Follow-up,"DRG005,DRG015",2,Not Interested,2022-02-13,10,No,
VIS001749,2022-01-31,REP014,DOC0091,TER027,Follow-up,"DRG009,DRG002,DRG015",3,Sample Accepted,2022-02-07,15,No,
VIS000427,2022-02-02,REP015,DOC0128,TER001,Planned,"DRG001,DRG011,DRG015,DRG012",0,Prescription Committed,2022-02-16,26,No,
VIS000766,2022-02-02,REP003,DOC0184,TER023,Follow-up,"DRG011,DRG006,DRG003",3,Prescription Committed,2022-02-24,31,No,
VIS000171,2022-02-04,REP001,DOC0245,TER035,Planned,"DRG008,DRG013,DRG006",1,Will Consider,2022-02-23,27,No,
VIS002316,2022-02-04,REP006,DOC0068,TER025,Planned,"DRG014,DRG015",1,Sample Accepted,2022-02-28,22,Yes,REP017
VIS000331,2022-02-05,REP005,DOC0071,TER022,Planned,"DRG004,DRG015,DRG013",3,Prescription Committed,2022-02-12,45,No,
VIS002611,2022-02-05,REP017,DOC0299,TER040,Camp,DRG004,1,Will Consider,2022-02-12,11,No,
VIS002881,2022-02-07,REP020,DOC0126,TER003,Planned,"DRG009,DRG003",2,Sample Accepted,2022-02-27,12,No,
VIS000297,2022-02-09,REP001,DOC0293,TER028,Follow-up,DRG003,1,Will Consider,2022-02-16,41,No,
VIS002731,2022-02-09,REP017,DOC0296,TER019,Planned,"DRG010,DRG007,DRG004",2,Will Consider,2022-02-16,22,No,
VIS000086,2022-02-10,REP019,DOC0289,TER034,Follow-up,"DRG003,DRG005,DRG015,DRG010",3,Prescription Committed,2022-02-19,42,Yes,REP017
VIS001523,2022-02-10,REP018,DOC0018,TER007,Planned,"DRG012,DRG008,DRG003,DRG013",0,Sample Accepted,2022-02-19,40,No,
VIS002800,2022-02-10,REP009,DOC0009,TER011,Follow-up,"DRG003,DRG011,DRG001",2,Will Consider,2022-03-08,30,No,
VIS000185,2022-02-11,REP011,DOC0279,TER019,Planned,"DRG015,DRG012",3,Prescription Committed,2022-03-04,45,No,
VIS000266,2022-02-13,REP020,DOC0291,TER007,Planned,DRG014,2,Sample Accepted,2022-03-03,23,No,
VIS002059,2022-02-13,REP020,DOC0227,TER002,Planned,"DRG006,DRG009",0,Sample Accepted,2022-02-21,10,No,
VIS000995,2022-02-14,REP015,DOC0045,TER029,Follow-up,"DRG007,DRG008,DRG009",1,Not Interested,2022-03-01,43,No,
VIS001750,2022-02-14,REP006,DOC0176,TER006,Planned,"DRG002,DRG010,DRG007",1,Sample Accepted,2022-03-16,41,No,
VIS002336,2022-02-14,REP012,DOC0230,TER012,Planned,DRG012,2,Not Interested,2022-02-27,16,Yes,REP012
VIS000588,2022-02-15,REP009,DOC0119,TER001,Planned,"DRG015,DRG012,DRG009,DRG001",0,Not Interested,2022-02-23,28,No,
VIS000881,2022-02-15,REP018,DOC0125,TER009,Planned,"DRG008,DRG013",2,Will Consider,2022-03-01,25,No,
VIS001414,2022-02-15,REP004,DOC0064,TER018,Follow-up,"DRG012,DRG008,DRG004",0,Prescription Committed,2022-03-06,37,No,
VIS002409,2022-02-15,REP003,DOC0100,TER005,Planned,"DRG001,DRG005,DRG010,DRG006",2,Will Consider,2022-03-17,40,No,
VIS002582,2022-02-15,REP015,DOC0209,TER039,Planned,DRG004,2,Will Consider,2022-03-14,45,No,
VIS001091,2022-02-16,REP017,DOC0007,TER006,Planned,"DRG003,DRG013",1,Will Consider,2022-02-26,20,No,
VIS001685,2022-02-16,REP020,DOC0153,TER015,Unplanned,"DRG007,DRG013,DRG005",2,Sample Accepted,2022-03-03,15,No,
VIS002712,2022-02-16,REP016,DOC0059,TER028,Planned,"DRG013,DRG004",3,Not Interested,2022-03-11,32,No,
VIS002917,2022-02-16,REP007,DOC0137,TER006,CME,"DRG010,DRG007",0,Meeting Rescheduled,2022-03-03,14,Yes,REP012
VIS000092,2022-02-17,REP017,DOC0278,TER003,Camp,"DRG010,DRG004,DRG008,DRG009",2,Sample Accepted,2022-03-04,16,No,
VIS001080,2022-02-17,REP018,DOC0213,TER027,Planned,"DRG009,DRG008,DRG010",1,Prescription Committed,2022-03-07,30,No,
VIS001637,2022-02-17,REP010,DOC0079,TER039,Follow-up,"DRG001,DRG008,DRG013,DRG012",1,Prescription Committed,2022-03-02,17,No,
VIS000104,2022-02-18,REP001,DOC0063,TER009,Follow-up,DRG007,1,Prescription Committed,2022-03-13,37,No,
VIS000514,2022-02-18,REP008,DOC0205,TER020,Unplanned,"DRG002,DRG011,DRG007",3,Prescription Committed,2022-02-28,38,No,
VIS001530,2022-02-18,REP020,DOC0110,TER031,Camp,"DRG013,DRG010,DRG006",0,Prescription Committed,2022-03-19,43,No,
VIS000089,2022-02-19,REP012,DOC0112,TER004,Planned,"DRG013,DRG008",1,Will Consider,2022-03-19,39,No,
VIS000210,2022-02-19,REP019,DOC0113,TER028,Unplanned,"DRG014,DRG004,DRG013,DRG015",1,Prescription Committed,2022-03-05,13,No,
VIS000465,2022-02-19,REP002,DOC0042,TER034,CME,DRG007,2,Will Consider,2022-02-27,36,No,
VIS000263,2022-02-20,REP018,DOC0066,TER031,Planned,"DRG003,DRG009,DRG012",1,Will Consider,2022-03-18,36,No,
VIS002815,2022-02-20,REP012,DOC0234,TER024,Planned,"DRG008,DRG012,DRG001",0,Sample Accepted,2022-03-22,27,No,
VIS000094,2022-02-21,REP011,DOC0024,TER002,Planned,"DRG004,DRG008,DRG012,DRG010",3,Will Consider,2022-03-04,28,No,
VIS001342,2022-02-22,REP016,DOC0188,TER032,Follow-up,"DRG012,DRG004,DRG010,DRG009",1,Prescription Committed,2022-03-17,26,No,
VIS001831,2022-02-22,REP003,DOC0028,TER022,Follow-up,"DRG015,DRG008,DRG014,DRG001",2,Will Consider,2022-03-08,38,No,
VIS001890,2022-02-22,REP013,DOC0058,TER010,Follow-up,DRG003,1,Prescription Committed,2022-03-12,27,No,
VIS002813,2022-02-23,REP011,DOC0007,TER021,Planned,DRG005,2,Sample Accepted,2022-03-15,19,No,
VIS000013,2022-02-24,REP012,DOC0108,TER030,Follow-up,"DRG006,DRG007,DRG001,DRG012",2,Sample Accepted,2022-03-08,18,No,
VIS001297,2022-02-24,REP006,DOC0275,TER034,Planned,"DRG013,DRG009,DRG003,DRG006",2,Will Consider,2022-03-07,10,No,
VIS002391,2022-02-25,REP001,DOC0110,TER008,Follow-up,"DRG004,DRG014,DRG015",0,Prescription Committed,2022-03-22,21,No,
VIS000476,2022-02-26,REP001,DOC0026,TER015,Planned,"DRG008,DRG005,DRG015",0,Not Interested,2022-03-23,28,No,
VIS000597,2022-02-26,REP003,DOC0145,TER012,Unplanned,"DRG005,DRG006,DRG007,DRG009",0,Prescription Committed,2022-03-10,11,No,
VIS002445,2022-02-27,REP004,DOC0006,TER022,Planned,"DRG015,DRG014,DRG005",3,Will Consider,2022-03-18,27,No,
VIS000115,2022-02-28,REP007,DOC0095,TER005,Follow-up,"DRG004,DRG006,DRG003,DRG001",1,Sample Accepted,2022-03-11,38,No,
VIS000366,2022-02-28,REP001,DOC0185,TER004,Planned,"DRG008,DRG014,DRG005",2,Prescription Committed,2022-03-25,41,No,
VIS000895,2022-02-28,REP020,DOC0128,TER036,Follow-up,"DRG009,DRG006,DRG007",0,Will Consider,2022-03-13,18,Yes,REP012
VIS000225,2022-03-01,REP011,DOC0036,TER004,CME,"DRG010,DRG013,DRG011",0,Will Consider,2022-03-28,29,No,
VIS002177,2022-03-01,REP019,DOC0280,TER007,Planned,"DRG014,DRG015",3,Will Consider,2022-03-21,13,No,
VIS001039,2022-03-02,REP012,DOC0084,TER011,Unplanned,"DRG011,DRG009,DRG013,DRG007",1,Will Consider,2022-03-14,26,No,
VIS002272,2022-03-02,REP011,DOC0251,TER011,Planned,"DRG013,DRG001",0,Will Consider,2022-03-20,26,Yes,REP017
VIS002628,2022-03-02,REP012,DOC0202,TER002,Follow-up,"DRG009,DRG003,DRG006,DRG002",0,Prescription Committed,2022-03-22,44,No,
VIS002697,2022-03-03,REP017,DOC0060,TER039,Planned,"DRG001,DRG004",1,Meeting Rescheduled,2022-03-22,25,No,
VIS000197,2022-03-04,REP013,DOC0243,TER005,Planned,"DRG010,DRG006,DRG008",2,Prescription Committed,2022-03-11,14,No,
VIS001224,2022-03-04,REP011,DOC0082,TER014,Unplanned,DRG001,2,Not Interested,2022-03-27,25,No,
VIS002116,2022-03-04,REP010,DOC0262,TER037,Planned,"DRG008,DRG009,DRG002",3,Prescription Committed,2022-03-16,22,No,
VIS001854,2022-03-05,REP002,DOC0044,TER008,Follow-up,"DRG015,DRG011,DRG005,DRG009",0,Will Consider,2022-04-04,19,No,
VIS002438,2022-03-05,REP003,DOC0180,TER011,Unplanned,"DRG001,DRG006,DRG015,DRG007",2,Prescription Committed,2022-03-14,16,No,
VIS001283,2022-03-06,REP004,DOC0299,TER016,Camp,DRG011,2,Not Interested,2022-03-16,20,No,
VIS000564,2022-03-07,REP012,DOC0179,TER005,CME,"DRG013,DRG014,DRG007,DRG010",3,Will Consider,2022-03-14,17,No,
VIS000893,2022-03-07,REP001,DOC0238,TER025,Follow-up,DRG012,3,Prescription Committed,2022-03-29,21,No,
VIS002720,2022-03-07,REP008,DOC0064,TER024,Planned,DRG009,3,Not Interested,2022-03-22,29,No,
VIS002859,2022-03-07,REP013,DOC0015,TER033,Planned,DRG008,2,Prescription Committed,2022-03-17,19,Yes,REP017
VIS000166,2022-03-08,REP015,DOC0177,TER015,CME,"DRG004,DRG013,DRG001",0,Will Consider,2022-04-01,24,No,
VIS001476,2022-03-08,REP004,DOC0196,TER009,Follow-up,"DRG007,DRG014,DRG009",0,Sample Accepted,2022-03-31,36,Yes,REP012
