TargetID,RepID,DrugID,FY_Quarter,SalesTarget_Value,SalesTarget_Units,VisitTarget,NewDoctorTarget
TGT001224,REP006,DRG002,FY2022-Q4,79333.09,225,53,2
TGT001225,REP006,DRG002,FY2023-Q1,71517.85,60,55,10
TGT001226,REP006,DRG002,FY2023-Q2,122020.56,143,51,5
TGT001227,REP006,DRG002,FY2023-Q3,120904.2,271,22,6
TGT001228,REP006,DRG002,FY2023-Q4,149703.71,121,31,5
TGT001229,REP006,DRG002,FY2024-Q1,105263.3,206,21,6
TGT001230,REP006,DRG002,FY2024-Q2,123357.74,260,60,3
TGT001231,REP006,DRG002,FY2024-Q3,64608.07,120,32,8
TGT001232,REP006,DRG002,FY2024-Q4,134187.46,229,29,4
TGT001233,REP006,DRG003,FY2021-Q1,32882.02,251,26,7
TGT001234,REP006,DRG003,FY2021-Q2,35163.36,170,45,10
TGT001235,REP006,DRG003,FY2021-Q3,60346.28,234,55,9
TGT001236,REP006,DRG003,FY2021-Q4,31746.2,299,28,5
TGT001237,REP006,DRG003,FY2022-Q1,42240.68,292,32,2
TGT001238,REP006,DRG003,FY2022-Q2,53900.29,70,31,7
TGT001239,REP006,DRG003,FY2022-Q3,37697.07,131,41,3
TGT001240,REP006,DRG003,FY2022-Q4,39307.56,149,56,7
TGT001241,REP006,DRG003,FY2023-Q1,30879.2,121,52,2
TGT001242,REP006,DRG003,FY2023-Q2,15607.6,188,46,5
TGT001243,REP006,DRG003,FY2023-Q3,37531.25,295,27,3
TGT001244,REP006,DRG003,FY2023-Q4,58232.22,261,60,8
TGT001245,REP006,DRG003,FY2024-Q1,69971.68,257,30,8
TGT001246,REP006,DRG003,FY2024-Q2,61627.29,160,42,10
TGT001247,REP006,DRG003,FY2024-Q3,35333.84,97,59,6
TGT001248,REP006,DRG003,FY2024-Q4,18971.43,86,33,7
TGT001249,REP006,DRG004,FY2021-Q1,197724.39,159,41,4
TGT001250,REP006,DRG004,FY2021-Q2,302666.44,138,59,6
TGT001251,REP006,DRG004,FY2021-Q3,213830.86,262,25,5
TGT001252,REP006,DRG004,FY2021-Q4,162558.88,72,46,7
TGT001253,REP006,DRG004,FY2022-Q1,100782.43,154,42,7
TGT001254,REP006,DRG004,FY2022-Q2,210315.21,223,36,7
TGT001255,REP006,DRG004,FY2022-Q3,265007.7,105,40,9
TGT001256,REP006,DRG004,FY2022-Q4,123652.12,139,45,10
TGT001257,REP006,DRG004,FY2023-Q1,263428.53,219,31,9
TGT001258,REP006,DRG004,FY2023-Q2,314174.17,125,40,6
TGT001259,REP006,DRG004,FY2023-Q3,324342.76,283,36,3
TGT001260,REP006,DRG004,FY2023-Q4,159028.13,215,31,2
TGT001261,REP006,DRG004,FY2024-Q1,236074.49,97,41,6
TGT001262,REP006,DRG004,FY2024-Q2,259306.94,67,54,6
TGT001263,REP006,DRG004,FY2024-Q3,281111.59,94,59,4
TGT001264,REP006,DRG004,FY2024-Q4,173250.23,207,58,5
TGT001265,REP006,DRG005,FY2021-Q1,190696.17,53,56,7
TGT001266,REP006,DRG005,FY2021-Q2,156999.04,238,38,8
TGT001267,REP006,DRG005,FY2021-Q3,197096.7,208,21,9
TGT001268,REP006,DRG005,FY2021-Q4,98849.02,295,25,8
TGT001269,REP006,DRG005,FY2022-Q1,89955.79,137,30,4
TGT001270,REP006,DRG005,FY2022-Q2,109386.09,259,60,4
TGT001271,REP006,DRG005,FY2022-Q3,95583.17,99,51,4
TGT001272,REP006,DRG005,FY2022-Q4,155289.38,65,33,9
TGT001273,REP006,DRG005,FY2023-Q1,120944.07,96,23,9
TGT001274,REP006,DRG005,FY2023-Q2,137926.92,72,22,6
TGT001275,REP006,DRG005,FY2023-Q3,122258.52,54,58,5
TGT001276,REP006,DRG005,FY2023-Q4,86926.03,268,51,3
TGT001277,REP006,DRG005,FY2024-Q1,108389.73,271,48,2
TGT001278,REP006,DRG005,FY2024-Q2,137014.78,90,22,10
TGT001279,REP006,DRG005,FY2024-Q3,147946.54,264,23,4
TGT001280,REP006,DRG005,FY2024-Q4,91151.29,95,36,7
TGT001281,REP006,DRG006,FY2021-Q1,80372.01,178,24,7
TGT001282,REP006,DRG006,FY2021-Q2,129379.02,232,50,9
TGT001283,REP006,DRG006,FY2021-Q3,40674.4,237,47,5
TGT001284,REP006,DRG006,FY2021-Q4,55975.44,240,31,6
TGT001285,REP006,DRG006,FY2022-Q1,137952,290,44,7
TGT001286,REP006,DRG006,FY2022-Q2,129473.07,199,35,6
TGT001287,REP006,DRG006,FY2022-Q3,47991.98,100,47,9
TGT001288,REP006,DRG006,FY2022-Q4,104134.93,222,56,6
TGT001289,REP006,DRG006,FY2023-Q1,38483.96,236,46,8
TGT001290,REP006,DRG006,FY2023-Q2,61213.05,78,26,7
TGT001291,REP006,DRG006,FY2023-Q3,61982.19,221,44,7
TGT001292,REP006,DRG006,FY2023-Q4,38797.75,117,53,2
TGT001293,REP006,DRG006,FY2024-Q1,90350.88,104,31,2
TGT001294,REP006,DRG006,FY2024-Q2,62506.64,171,58,3
TGT001295,REP006,DRG006,FY2024-Q3,55639.4,168,32,5
TGT001296,REP006,DRG006,FY2024-Q4,65035.45,284,50,9
TGT001297,REP006,DRG007,FY2021-Q1,2689437.79,145,35,2
TGT001298,REP006,DRG007,FY2021-Q2,746050.33,199,39,6
TGT001299,REP006,DRG007,FY2021-Q3,2244603.91,52,47,9
TGT001300,REP006,DRG007,FY2021-Q4,2228012.87,253,55,8
TGT001301,REP006,DRG007,FY2022-Q1,1927786.76,65,58,5
TGT001302,REP006,DRG007,FY2022-Q2,2166369.17,272,59,3
TGT001303,REP006,DRG007,FY2022-Q3,3413659.47,243,29,9
TGT001304,REP006,DRG007,FY2022-Q4,1569450.26,224,56,3
TGT001305,REP006,DRG007,FY2023-Q1,2906128.94,300,35,8
TGT001306,REP006,DRG007,FY2023-Q2,1955811.8,141,36,6
TGT001307,REP006,DRG007,FY2023-Q3,1894151.2,214,56,5
TGT001308,REP006,DRG007,FY2023-Q4,3845245.03,141,50,3
TGT001309,REP006,DRG007,FY2024-Q1,1623599.33,51,53,9
TGT001310,REP006,DRG007,FY2024-Q2,1399414.21,289,27,3
TGT001311,REP006,DRG007,FY2024-Q3,2784775.38,55,33,6
TGT001312,REP006,DRG007,FY2024-Q4,1095737.99,58,56,3
TGT001313,REP006,DRG008,FY2021-Q1,3046215.48,151,37,6
TGT001314,REP006,DRG008,FY2021-Q2,4249956.59,182,51,10
TGT001315,REP006,DRG008,FY2021-Q3,3338778.56,249,47,9
TGT001316,REP006,DRG008,FY2021-Q4,3502764.04,120,37,3
TGT001317,REP006,DRG008,FY2022-Q1,3397787.87,50,55,6
TGT001318,REP006,DRG008,FY2022-Q2,5478393.23,164,42,2
TGT001319,REP006,DRG008,FY2022-Q3,2858593.06,193,42,6
TGT001320,REP006,DRG008,FY2022-Q4,2781495.44,191,24,5
TGT001321,REP006,DRG008,FY2023-Q1,5120425.83,84,44,5
TGT001322,REP006,DRG008,FY2023-Q2,1404305.69,218,59,3
TGT001323,REP006,DRG008,FY2023-Q3,1943282.67,126,49,7
TGT001324,REP006,DRG008,FY2023-Q4,2371504.69,143,35,10
TGT001325,REP006,DRG008,FY2024-Q1,5437761.11,126,49,7
TGT001326,REP006,DRG008,FY2024-Q2,3876336.41,296,21,9
TGT001327,REP006,DRG008,FY2024-Q3,1514979.23,192,30,8
TGT001328,REP006,DRG008,FY2024-Q4,3458262.87,73,33,10
TGT001329,REP006,DRG009,FY2021-Q1,72562.54,178,38,2
TGT001330,REP006,DRG009,FY2021-Q2,59449.91,141,36,3
TGT001331,REP006,DRG009,FY2021-Q3,64786.75,77,57,3
TGT001332,REP006,DRG009,FY2021-Q4,89509.05,58,57,6
TGT001333,REP006,DRG009,FY2022-Q1,106888.58,126,28,3
TGT001334,REP006,DRG009,FY2022-Q2,81061.64,141,43,8
TGT001335,REP006,DRG009,FY2022-Q3,61663.36,286,45,10
TGT001336,REP006,DRG009,FY2022-Q4,96149.86,195,38,7
TGT001337,REP006,DRG009,FY2023-Q1,84921.06,193,28,10
TGT001338,REP006,DRG009,FY2023-Q2,103501.06,272,27,8
TGT001339,REP006,DRG009,FY2023-Q3,37171.43,196,36,6
TGT001340,REP006,DRG009,FY2023-Q4,84952.65,69,50,9
TGT001341,REP006,DRG009,FY2024-Q1,69590.2,231,43,2
TGT001342,REP006,DRG009,FY2024-Q2,71452.99,249,60,7
TGT001343,REP006,DRG009,FY2024-Q3,53288.69,51,52,9
TGT001344,REP006,DRG009,FY2024-Q4,45517.6,283,45,3
TGT001345,REP006,DRG010,FY2021-Q1,119487.98,125,33,8
TGT001346,REP006,DRG010,FY2021-Q2,123624.58,287,27,7
TGT001347,REP006,DRG010,FY2021-Q3,95345.16,269,60,3
TGT001348,REP006,DRG010,FY2021-Q4,139703.37,201,22,7
TGT001349,REP006,DRG010,FY2022-Q1,181504.66,291,48,4
TGT001350,REP006,DRG010,FY2022-Q2,83442.96,162,34,2
TGT001351,REP006,DRG010,FY2022-Q3,57105.49,174,36,2
TGT001352,REP006,DRG010,FY2022-Q4,67231.11,141,49,4
TGT001353,REP006,DRG010,FY2023-Q1,120300.43,102,45,5
TGT001354,REP006,DRG010,FY2023-Q2,73575.67,116,60,8
TGT001355,REP006,DRG010,FY2023-Q3,84522.94,281,52,6
TGT001356,REP006,DRG010,FY2023-Q4,122422.72,266,23,3
TGT001357,REP006,DRG010,FY2024-Q1,82925.58,51,39,2
TGT001358,REP006,DRG010,FY2024-Q2,107038.93,284,39,10
TGT001359,REP006,DRG010,FY2024-Q3,102236.82,291,59,5
TGT001360,REP006,DRG010,FY2024-Q4,187754.99,85,49,10
TGT001361,REP006,DRG011,FY2021-Q1,3427111.97,129,48,3
TGT001362,REP006,DRG011,FY2021-Q2,5730217.14,201,60,9
TGT001363,REP006,DRG011,FY2021-Q3,8288892.9,178,57,10
TGT001364,REP006,DRG011,FY2021-Q4,4190183.92,145,60,5
TGT001365,REP006,DRG011,FY2022-Q1,9061647.11,72,58,5
TGT001366,REP006,DRG011,FY2022-Q2,5084082.61,144,33,9
TGT001367,REP006,DRG011,FY2022-Q3,7598855.31,54,29,4
TGT001368,REP006,DRG011,FY2022-Q4,3557921.49,142,21,7
TGT001369,REP006,DRG011,FY2023-Q1,3196496.25,104,48,2
TGT001370,REP006,DRG011,FY2023-Q2,3535508.18,129,44,4
TGT001371,REP006,DRG011,FY2023-Q3,9302654.65,91,27,3
TGT001372,REP006,DRG011,FY2023-Q4,3108780.75,135,28,10
TGT001373,REP006,DRG011,FY2024-Q1,8910358.87,220,53,8
TGT001374,REP006,DRG011,FY2024-Q2,6044621.95,247,23,8
TGT001375,REP006,DRG011,FY2024-Q3,4057797.98,66,43,6
TGT001376,REP006,DRG011,FY2024-Q4,7070089.95,113,25,2
TGT001377,REP006,DRG012,FY2021-Q1,20006.58,212,36,4
TGT001378,REP006,DRG012,FY2021-Q2,19653.13,106,59,4
TGT001379,REP006,DRG012,FY2021-Q3,8445.38,126,42,8
TGT001380,REP006,DRG012,FY2021-Q4,10922.58,264,30,4
TGT001381,REP006,DRG012,FY2022-Q1,18579.29,277,48,6
TGT001382,REP006,DRG012,FY2022-Q2,12714.12,182,29,10
TGT001383,REP006,DRG012,FY2022-Q3,8906.55,200,49,9
TGT001384,REP006,DRG012,FY2022-Q4,9487.41,153,28,2
TGT001385,REP006,DRG012,FY2023-Q1,22392.82,130,44,7
TGT001386,REP006,DRG012,FY2023-Q2,15066.69,160,29,6
TGT001387,REP006,DRG012,FY2023-Q3,6814,91,25,8
TGT001388,REP006,DRG012,FY2023-Q4,24131.71,159,46,8
TGT001389,REP006,DRG012,FY2024-Q1,23334.37,262,59,7
TGT001390,REP006,DRG012,FY2024-Q2,15369.48,191,51,3
TGT001391,REP006,DRG012,FY2024-Q3,15568.05,171,22,2
TGT001392,REP006,DRG012,FY2024-Q4,9800.74,178,20,5
TGT001393,REP006,DRG013,FY2021-Q1,18168.9,101,25,3
TGT001394,REP006,DRG013,FY2021-Q2,16309.48,60,31,2
TGT001395,REP006,DRG013,FY2021-Q3,33524.77,264,56,5
TGT001396,REP006,DRG013,FY2021-Q4,21490.61,152,46,5
TGT001397,REP006,DRG013,FY2022-Q1,19160.15,138,48,10
TGT001398,REP006,DRG013,FY2022-Q2,15992.08,160,42,5
TGT001399,REP006,DRG013,FY2022-Q3,24161.97,117,42,4
TGT001400,REP006,DRG013,FY2022-Q4,17918.31,117,48,5
TGT001401,REP006,DRG013,FY2023-Q1,30775.28,200,44,6
TGT001402,REP006,DRG013,FY2023-Q2,18142,206,35,6
TGT001403,REP006,DRG013,FY2023-Q3,26750.32,51,53,2
TGT001404,REP006,DRG013,FY2023-Q4,10264.22,129,57,8
TGT001405,REP006,DRG013,FY2024-Q1,16006.88,111,38,7
TGT001406,REP006,DRG013,FY2024-Q2,32055.21,287,46,5
TGT001407,REP006,DRG013,FY2024-Q3,23598.08,183,25,2
TGT001408,REP006,DRG013,FY2024-Q4,30016.58,261,34,4
TGT001409,REP006,DRG014,FY2021-Q1,50043.75,100,55,3
TGT001410,REP006,DRG014,FY2021-Q2,47367.1,54,38,7
TGT001411,REP006,DRG014,FY2021-Q3,20024.6,256,42,3
TGT001412,REP006,DRG014,FY2021-Q4,17356.37,171,22,9
TGT001413,REP006,DRG014,FY2022-Q1,25713.27,124,54,4
TGT001414,REP006,DRG014,FY2022-Q2,22366.11,70,25,6
TGT001415,REP006,DRG014,FY2022-Q3,11974.3,261,46,10
TGT001416,REP006,DRG014,FY2022-Q4,54143.34,187,48,4
TGT001417,REP006,DRG014,FY2023-Q1,25847.74,139,20,5
TGT001418,REP006,DRG014,FY2023-Q2,29428.9,107,25,7
TGT001419,REP006,DRG014,FY2023-Q3,37901.69,73,55,4
TGT001420,REP006,DRG014,FY2023-Q4,42866.7,154,37,10
TGT001421,REP006,DRG014,FY2024-Q1,36338.58,232,29,6
TGT001422,REP006,DRG014,FY2024-Q2,33158.5,109,38,6
TGT001423,REP006,DRG014,FY2024-Q3,41676.33,93,29,7
TGT001424,REP006,DRG014,FY2024-Q4,31762.78,295,31,10
TGT001425,REP006,DRG015,FY2021-Q1,70089.18,110,33,2
TGT001426,REP006,DRG015,FY2021-Q2,68858.05,277,57,9
TGT001427,REP006,DRG015,FY2021-Q3,178448.4,69,35,8
TGT001428,REP006,DRG015,FY2021-Q4,161716.26,84,39,9
TGT001429,REP006,DRG015,FY2022-Q1,163076.56,108,40,5
TGT001430,REP006,DRG015,FY2022-Q2,103420.04,117,57,8
TGT001431,REP006,DRG015,FY2022-Q3,102984.29,163,28,2
TGT001432,REP006,DRG015,FY2022-Q4,181161.78,151,34,8
TGT001433,REP006,DRG015,FY2023-Q1,179384.54,185,41,5
TGT001434,REP006,DRG015,FY2023-Q2,104842.79,179,56,6
TGT001435,REP006,DRG015,FY2023-Q3,153939.16,93,26,3
TGT001436,REP006,DRG015,FY2023-Q4,125092.04,164,48,9
TGT001437,REP006,DRG015,FY2024-Q1,150668.41,252,45,4
TGT001438,REP006,DRG015,FY2024-Q2,202575.33,86,29,8
TGT001439,REP006,DRG015,FY2024-Q3,129305.42,199,27,3
TGT001440,REP006,DRG015,FY2024-Q4,131617.14,222,50,2
TGT001441,REP007,DRG001,FY2021-Q1,64884.66,64,48,4
TGT001442,REP007,DRG001,FY2021-Q2,47923.07,227,48,5
TGT001443,REP007,DRG001,FY2021-Q3,65205.28,97,26,7
TGT001444,REP007,DRG001,FY2021-Q4,37596.51,76,31,9
TGT001445,REP007,DRG001,FY2022-Q1,51537.49,234,30,9
TGT001446,REP007,DRG001,FY2022-Q2,94875.16,246,47,5
TGT001447,REP007,DRG001,FY2022-Q3,51088.87,187,49,10
TGT001448,REP007,DRG001,FY2022-Q4,93572.79,107,60,9
TGT001449,REP007,DRG001,FY2023-Q1,62681.58,185,33,6
TGT001450,REP007,DRG001,FY2023-Q2,67615.72,188,50,4
TGT001451,REP007,DRG001,FY2023-Q3,46927.67,232,29,2
TGT001452,REP007,DRG001,FY2023-Q4,44306.2,87,21,9
TGT001453,REP007,DRG001,FY2024-Q1,81972.3,144,29,4
TGT001454,REP007,DRG001,FY2024-Q2,69501.48,213,20,10
TGT001455,REP007,DRG001,FY2024-Q3,69204.59,102,26,10
TGT001456,REP007,DRG001,FY2024-Q4,25128.15,196,45,7
TGT001457,REP007,DRG002,FY2021-Q1,142680.34,73,28,8
TGT001458,REP007,DRG002,FY2021-Q2,132128.96,164,57,7
TGT001459,REP007,DRG002,FY2021-Q3,48737.57,215,45,3
TGT001460,REP007,DRG002,FY2021-Q4,35698.59,124,32,7
TGT001461,REP007,DRG002,FY2022-Q1,42403.73,254,20,3
TGT001462,REP007,DRG002,FY2022-Q2,124499.27,124,50,10
TGT001463,REP007,DRG002,FY2022-Q3,155063.35,97,33,9
TGT001464,REP007,DRG002,FY2022-Q4,121891.01,118,23,3
TGT001465,REP007,DRG002,FY2023-Q1,92983.18,296,29,4
TGT001466,REP007,DRG002,FY2023-Q2,117502.2,80,51,8
TGT001467,REP007,DRG002,FY2023-Q3,50284.89,167,35,9
TGT001468,REP007,DRG002,FY2023-Q4,38869.44,228,22,5
TGT001469,REP007,DRG002,FY2024-Q1,110887.9,281,55,8
TGT001470,REP007,DRG002,FY2024-Q2,131337.2,216,23,3
TGT001471,REP007,DRG002,FY2024-Q3,123223.43,156,41,7
TGT001472,REP007,DRG002,FY2024-Q4,66990.09,146,21,5
TGT001473,REP007,DRG003,FY2021-Q1,53416.47,187,49,10
TGT001474,REP007,DRG003,FY2021-Q2,16922.74,63,37,9
TGT001475,REP007,DRG003,FY2021-Q3,41783.42,164,43,6
TGT001476,REP007,DRG003,FY2021-Q4,63025.02,166,29,4
TGT001477,REP007,DRG003,FY2022-Q1,63882.85,178,44,7
TGT001478,REP007,DRG003,FY2022-Q2,35450.32,54,55,9
TGT001479,REP007,DRG003,FY2022-Q3,50179.39,111,55,9
TGT001480,REP007,DRG003,FY2022-Q4,33363.53,194,34,4
TGT001481,REP007,DRG003,FY2023-Q1,45953.65,61,22,5
TGT001482,REP007,DRG003,FY2023-Q2,15865.75,88,23,8
TGT001483,REP007,DRG003,FY2023-Q3,36259.18,159,20,4
TGT001484,REP007,DRG003,FY2023-Q4,44213.49,113,47,2
TGT001485,REP007,DRG003,FY2024-Q1,43260.44,151,42,8
TGT001486,REP007,DRG003,FY2024-Q2,44140.65,188,56,10
TGT001487,REP007,DRG003,FY2024-Q3,19625.56,116,47,4
TGT001488,REP007,DRG003,FY2024-Q4,38867.12,73,41,3
TGT001489,REP007,DRG004,FY2021-Q1,302842.03,72,35,9
TGT001490,REP007,DRG004,FY2021-Q2,322723.17,287,30,5
TGT001491,REP007,DRG004,FY2021-Q3,287121.58,82,44,2
TGT001492,REP007,DRG004,FY2021-Q4,333430.95,271,34,8
TGT001493,REP007,DRG004,FY2022-Q1,296395.88,209,25,10
TGT001494,REP007,DRG004,FY2022-Q2,310567.71,110,56,7
TGT001495,REP007,DRG004,FY2022-Q3,165159.7,221,25,2
TGT001496,REP007,DRG004,FY2022-Q4,354078.36,243,48,3
TGT001497,REP007,DRG004,FY2023-Q1,133545.79,207,33,7
TGT001498,REP007,DRG004,FY2023-Q2,377680.78,212,44,8
TGT001499,REP007,DRG004,FY2023-Q3,324322.02,263,52,7
TGT001500,REP007,DRG004,FY2023-Q4,162768.91,169,49,10
TGT001501,REP007,DRG004,FY2024-Q1,225186.88,91,52,3
TGT001502,REP007,DRG004,FY2024-Q2,244014.58,147,52,2
TGT001503,REP007,DRG004,FY2024-Q3,162700.28,196,40,3
TGT001504,REP007,DRG004,FY2024-Q4,128044.67,224,21,6
TGT001505,REP007,DRG005,FY2021-Q1,70606.66,153,51,7
TGT001506,REP007,DRG005,FY2021-Q2,91138.78,240,54,5
TGT001507,REP007,DRG005,FY2021-Q3,202868.78,152,26,6
TGT001508,REP007,DRG005,FY2021-Q4,102053.8,227,49,7
TGT001509,REP007,DRG005,FY2022-Q1,131057.11,162,33,7
TGT001510,REP007,DRG005,FY2022-Q2,159640.78,290,41,10
TGT001511,REP007,DRG005,FY2022-Q3,98799.43,295,30,8
TGT001512,REP007,DRG005,FY2022-Q4,142953.23,141,40,9
TGT001513,REP007,DRG005,FY2023-Q1,158585.15,79,38,10
TGT001514,REP007,DRG005,FY2023-Q2,121488.52,213,54,3
TGT001515,REP007,DRG005,FY2023-Q3,209506.66,145,52,7
TGT001516,REP007,DRG005,FY2023-Q4,94523.08,113,56,4
TGT001517,REP007,DRG005,FY2024-Q1,163557.19,183,56,3
TGT001518,REP007,DRG005,FY2024-Q2,154489.91,275,33,8
TGT001519,REP007,DRG005,FY2024-Q3,260786.65,259,39,7
TGT001520,REP007,DRG005,FY2024-Q4,219032.18,205,54,3
TGT001521,REP007,DRG006,FY2021-Q1,65536.76,232,43,6
TGT001522,REP007,DRG006,FY2021-Q2,145881.11,164,35,3
TGT001523,REP007,DRG006,FY2021-Q3,69902.74,110,38,10
TGT001524,REP007,DRG006,FY2021-Q4,96483.26,128,34,4
TGT001525,REP007,DRG006,FY2022-Q1,112242.35,110,42,4
TGT001526,REP007,DRG006,FY2022-Q2,89553.31,288,45,6
TGT001527,REP007,DRG006,FY2022-Q3,74144.32,287,53,6
TGT001528,REP007,DRG006,FY2022-Q4,131837.98,173,56,10
TGT001529,REP007,DRG006,FY2023-Q1,75342.12,80,43,7
TGT001530,REP007,DRG006,FY2023-Q2,41460.4,230,33,5
TGT001531,REP007,DRG006,FY2023-Q3,82792.16,197,30,10
TGT001532,REP007,DRG006,FY2023-Q4,123835.53,98,30,10
TGT001533,REP007,DRG006,FY2024-Q1,37581.22,233,34,6
TGT001534,REP007,DRG006,FY2024-Q2,107313.02,259,24,7
TGT001535,REP007,DRG006,FY2024-Q3,71465.12,96,37,2
TGT001536,REP007,DRG006,FY2024-Q4,36083.15,57,52,2
TGT001537,REP007,DRG007,FY2021-Q1,1766674.17,169,21,6
TGT001538,REP007,DRG007,FY2021-Q2,3056437.3,288,32,6
TGT001539,REP007,DRG007,FY2021-Q3,1997427.78,190,20,7
TGT001540,REP007,DRG007,FY2021-Q4,2319793.66,90,20,6
TGT001541,REP007,DRG007,FY2022-Q1,1688462.19,205,57,4
TGT001542,REP007,DRG007,FY2022-Q2,3130236.98,53,37,9
TGT001543,REP007,DRG007,FY2022-Q3,1044453.09,217,39,7
TGT001544,REP007,DRG007,FY2022-Q4,943294.27,142,27,8
TGT001545,REP007,DRG007,FY2023-Q1,2570348.08,81,26,6
TGT001546,REP007,DRG007,FY2023-Q2,3800251.79,280,57,2
TGT001547,REP007,DRG007,FY2023-Q3,2895065.39,225,60,6
TGT001548,REP007,DRG007,FY2023-Q4,2743663.13,102,53,9
TGT001549,REP007,DRG007,FY2024-Q1,2752688.09,213,21,8
TGT001550,REP007,DRG007,FY2024-Q2,3414990.8,258,28,7
TGT001551,REP007,DRG007,FY2024-Q3,3045245.25,166,54,5
TGT001552,REP007,DRG007,FY2024-Q4,2200672.25,281,51,2
TGT001553,REP007,DRG008,FY2021-Q1,2903467.6,265,60,3
TGT001554,REP007,DRG008,FY2021-Q2,2274813.9,190,42,6
TGT001555,REP007,DRG008,FY2021-Q3,2191745.39,207,52,10
TGT001556,REP007,DRG008,FY2021-Q4,3911755.63,250,29,3
TGT001557,REP007,DRG008,FY2022-Q1,2453559.08,152,53,7
TGT001558,REP007,DRG008,FY2022-Q2,4015858.83,133,46,8
TGT001559,REP007,DRG008,FY2022-Q3,2799844.46,207,32,6
TGT001560,REP007,DRG008,FY2022-Q4,3418328.25,154,23,7
TGT001561,REP007,DRG008,FY2023-Q1,4559208.63,266,55,3
TGT001562,REP007,DRG008,FY2023-Q2,5355005.86,293,47,5
TGT001563,REP007,DRG008,FY2023-Q3,3317010.17,186,56,3
TGT001564,REP007,DRG008,FY2023-Q4,4850288.06,199,39,7
TGT001565,REP007,DRG008,FY2024-Q1,1599369.71,278,48,8
TGT001566,REP007,DRG008,FY2024-Q2,6022429.39,135,50,6
TGT001567,REP007,DRG008,FY2024-Q3,5271518.09,81,39,4
TGT001568,REP007,DRG008,FY2024-Q4,5155758.41,110,59,3
TGT001569,REP007,DRG009,FY2021-Q1,31396.79,230,24,8
TGT001570,REP007,DRG009,FY2021-Q2,73419.29,263,40,8
TGT001571,REP007,DRG009,FY2021-Q3,93517.38,126,41,10
TGT001572,REP007,DRG009,FY2021-Q4,82664.35,284,45,7
TGT001573,REP007,DRG009,FY2022-Q1,63328.36,226,20,6
TGT001574,REP007,DRG009,FY2022-Q2,111559.38,91,34,7
TGT001575,REP007,DRG009,FY2022-Q3,90351.93,139,34,7
TGT001576,REP007,DRG009,FY2022-Q4,59240.19,241,40,5
TGT001577,REP007,DRG009,FY2023-Q1,51276.62,300,58,5
TGT001578,REP007,DRG009,FY2023-Q2,77774.51,255,24,5
TGT001579,REP007,DRG009,FY2023-Q3,78060.16,71,25,6
TGT001580,REP007,DRG009,FY2023-Q4,105286.78,222,51,2
TGT001581,REP007,DRG009,FY2024-Q1,41761.34,287,32,3
TGT001582,REP007,DRG009,FY2024-Q2,62904.32,284,41,10
TGT001583,REP007,DRG009,FY2024-Q3,30344.07,167,55,8
TGT001584,REP007,DRG009,FY2024-Q4,45692.58,205,23,2
TGT001585,REP007,DRG010,FY2021-Q1,135145.36,92,33,7
TGT001586,REP007,DRG010,FY2021-Q2,107433.6,80,47,10
TGT001587,REP007,DRG010,FY2021-Q3,46498.66,169,49,6
TGT001588,REP007,DRG010,FY2021-Q4,98261.06,295,35,3
TGT001589,REP007,DRG010,FY2022-Q1,142431.41,181,33,10
TGT001590,REP007,DRG010,FY2022-Q2,127890.89,253,51,4
TGT001591,REP007,DRG010,FY2022-Q3,86994.46,262,20,6
TGT001592,REP007,DRG010,FY2022-Q4,46720.86,196,47,9
TGT001593,REP007,DRG010,FY2023-Q1,124955.27,213,58,7
TGT001594,REP007,DRG010,FY2023-Q2,146597.28,90,60,9
TGT001595,REP007,DRG010,FY2023-Q3,81637.22,284,35,2
TGT001596,REP007,DRG010,FY2023-Q4,47672.4,135,46,2
TGT001597,REP007,DRG010,FY2024-Q1,92950.79,161,43,7
TGT001598,REP007,DRG010,FY2024-Q2,175044.96,190,31,9
TGT001599,REP007,DRG010,FY2024-Q3,112006.61,72,50,5
TGT001600,REP007,DRG010,FY2024-Q4,48769.8,121,29,9
TGT001601,REP007,DRG011,FY2021-Q1,3726882.99,86,54,4
TGT001602,REP007,DRG011,FY2021-Q2,4608937.73,215,29,9
TGT001603,REP007,DRG011,FY2021-Q3,8958856.04,238,42,9
TGT001604,REP007,DRG011,FY2021-Q4,6338769.56,103,37,4
TGT001605,REP007,DRG011,FY2022-Q1,4510039.48,243,26,4
TGT001606,REP007,DRG011,FY2022-Q2,4780810.39,180,38,7
TGT001607,REP007,DRG011,FY2022-Q3,2733778.45,253,57,9
TGT001608,REP007,DRG011,FY2022-Q4,7918375.52,121,39,9
TGT001609,REP007,DRG011,FY2023-Q1,6874739.97,148,33,2
TGT001610,REP007,DRG011,FY2023-Q2,4488746.11,195,48,2
TGT001611,REP007,DRG011,FY2023-Q3,2653410.67,82,37,5
TGT001612,REP007,DRG011,FY2023-Q4,3716764.98,100,57,6
TGT001613,REP007,DRG011,FY2024-Q1,2869631.69,67,55,10
TGT001614,REP007,DRG011,FY2024-Q2,2582382.39,288,50,8
TGT001615,REP007,DRG011,FY2024-Q3,4616205.53,69,48,2
TGT001616,REP007,DRG011,FY2024-Q4,2679375.46,128,55,3
TGT001617,REP007,DRG012,FY2021-Q1,6374.74,222,44,4
TGT001618,REP007,DRG012,FY2021-Q2,18014.63,192,42,8
